learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,eval_metric,reg_alpha,left_out_PatId
0.05,80,2,0.8,0.8,rmse,0,0
0.05,39,2,0.8,0.8,rmse,0,1
0.05,39,2,0.8,0.8,rmse,0,2
0.05,78,2,0.8,0.8,rmse,0,3
0.05,34,2,0.8,0.8,rmse,0,4
0.05,33,2,0.8,0.8,rmse,0,5
0.05,39,2,0.8,0.8,rmse,0,6
0.05,39,2,0.8,0.8,rmse,0,7
0.05,39,2,0.8,0.8,rmse,0,8
0.05,47,2,0.8,0.8,rmse,0,9
0.05,54,2,0.8,0.8,rmse,0,10
0.05,113,2,0.8,0.8,rmse,0,11
0.05,54,2,0.8,0.8,rmse,0,12
0.05,108,2,0.8,0.8,rmse,0,13
0.05,113,2,0.8,0.8,rmse,0,14
0.05,768,2,0.8,0.8,rmse,0,15
0.05,113,2,0.8,0.8,rmse,0,16
0.05,1000,2,0.8,0.8,rmse,0,17
0.05,35,2,0.8,0.8,rmse,0,18
0.05,78,2,0.8,0.8,rmse,0,19
0.05,30,2,0.8,0.8,rmse,0,20
0.05,1000,2,0.8,0.8,rmse,0,21
0.05,39,2,0.8,0.8,rmse,0,22
0.05,30,2,0.8,0.8,rmse,0,23
0.05,64,2,0.8,0.8,rmse,0,24
0.05,27,2,0.8,0.8,rmse,0,25
0.05,10,2,0.8,0.8,rmse,0,26
0.05,7,2,0.8,0.8,rmse,0,27
0.05,1000,2,0.8,0.8,rmse,0,28
0.05,60,2,0.8,0.8,rmse,0,29
0.05,60,2,0.8,0.8,rmse,0,30
0.05,41,2,0.8,0.8,rmse,0,31
0.05,106,2,0.8,0.8,rmse,0,32
0.05,42,2,0.8,0.8,rmse,0,33
0.05,71,2,0.8,0.8,rmse,0,34
0.05,73,2,0.8,0.8,rmse,0,35
0.05,73,2,0.8,0.8,rmse,0,36
0.05,40,2,0.8,0.8,rmse,0,37
0.05,23,2,0.8,0.8,rmse,0,38
0.05,106,2,0.8,0.8,rmse,0,39
0.05,60,2,0.8,0.8,rmse,0,40
0.05,81,2,0.8,0.8,rmse,0,41
0.05,73,2,0.8,0.8,rmse,0,42
0.05,86,2,0.8,0.8,rmse,0,43
0.05,73,2,0.8,0.8,rmse,0,44
0.05,73,2,0.8,0.8,rmse,0,45
0.05,70,2,0.8,0.8,rmse,0,46
0.05,60,2,0.8,0.8,rmse,0,47
0.05,62,2,0.8,0.8,rmse,0,48
0.05,62,2,0.8,0.8,rmse,0,49
0.05,73,2,0.8,0.8,rmse,0,50
0.05,73,2,0.8,0.8,rmse,0,51
0.05,73,2,0.8,0.8,rmse,0,52
0.05,73,2,0.8,0.8,rmse,0,53
0.05,81,2,0.8,0.8,rmse,0,54
0.05,73,2,0.8,0.8,rmse,0,55
0.05,73,2,0.8,0.8,rmse,0,56
0.05,73,2,0.8,0.8,rmse,0,57
0.05,56,2,0.8,0.8,rmse,0,58
0.05,73,2,0.8,0.8,rmse,0,59
0.05,55,2,0.8,0.8,rmse,0,60
0.05,51,2,0.8,0.8,rmse,0,61
0.05,71,2,0.8,0.8,rmse,0,62
0.05,78,2,0.8,0.8,rmse,0,63
0.05,78,2,0.8,0.8,rmse,0,64
0.05,55,2,0.8,0.8,rmse,0,65
0.05,73,2,0.8,0.8,rmse,0,66
0.05,73,2,0.8,0.8,rmse,0,67
0.05,63,2,0.8,0.8,rmse,0,68
0.05,73,2,0.8,0.8,rmse,0,69
0.05,62,2,0.8,0.8,rmse,0,70
0.05,59,2,0.8,0.8,rmse,0,71
